Date,Postal outcode,County,Latitude,Longitude,Number-Of-People,Number-Of-Showers,Number-Of-Toilets,Showers-Per-Week,Shower-Duration-Minutes,Washing-Machine-Per-Week,Dishwasher-Per-Week,Boil-Water-Per-Week,Bath-Frequency-Per-Week,Wash-Dishes-By-Hand,Has-Garden,Garden-Watering-Per-Week,Has-Swimming-Pool,Car-Wash-Per-Month,Household-Water-Use-Litres-Yearly,Bathroom-Water-Use-Litres-Yearly,Kitchen-Water-Use-Litres-Yearly,Outdoor-Water-Use-Litres-Yearly,Household-Water-Use-Money-£-Yearly,Person-Water-Use-Litres-Yearly,Person-Water-Use-Litres-Per-Day,Household-Water-Saving-Litres-Yearly,Household-Water-Saving-Money-£-Yearly,Household-Energy-Use-Money-£-Yearly,Household-Energy-Saving-kWh-Yearly,Household-Energy-Saving-Cost-£-Yearly
2020-01-01,NR1,Surrey,54.5343,-0.6246,4,1,2,12,5,2,1,8,3,yes,yes,3,no,3,124214,55896,31053,37264,248.43,31053,85.1,9287,18.57,675.05,1208,167.29
2020-01-02,GU1,Derbyshire,52.9368,-0.5701,1,1,1,8,8,5,1,27,4,yes,no,2,no,2,81681,36756,20420,24504,163.36,81681,223.8,13297,26.59,959.31,504,11.73
2020-01-03,DE1,Cheshire,50.427,-1.3507,2,3,2,3,4,5,NULL,17,1,no,yes,3,no,0,59174,26628,14793,17752,118.35,29587,81.1,9115,18.23,1608.15,445,193.99
2020-01-04,YO1,Kent,52.249,-1.7964,4,2,2,18,6,5,1,12,2,yes,no,3,yes,1,149584,67312,37396,44875,299.17,37396,102.5,5762,11.52,659.79,1741,81.44
2020-01-05,CM1,Kent,53.7818,1.424,3,4,2,13,NULL,4,7,22,2,yes,yes,3,no,0,191368,86115,47842,57410,382.74,63789,174.8,19201,38.4,1583.06,481,123.18
2020-01-06,NR1,Kent,53.9707,0.5162,2,2,2,8,10,5,4,17,0,no,no,1,no,2,91606,41222,22901,27481,183.21,45803,125.5,14908,29.82,769.49,1113,16.52
2020-01-07,CH1,Suffolk,52.473,-1.6076,4,2,3,20,7,2,8,13,2,yes,yes,2,no,0,161241,72558,40310,48372,322.48,40310,110.4,14340,28.68,1711.22,1453,144.69
2020-01-08,CT1,Yorkshire,54.4737,0.0001,3,2,3,8,11,4,4,9,4,yes,yes,4,no,3,129751,58387,32437,38925,259.5,43250,118.5,3499,7.0,254.91,444,113.3
2020-01-09,NR1,Derbyshire,51.3383,-2.5174,3,2,1,19,6,7,0,15,1,no,yes,0,no,2,125235,56355,31308,37570,250.47,41745,114.4,3227,6.45,664.67,1577,192.47
2020-01-10,DE1,Norfolk,52.053,-3.4491,6,4,1,14,10,7,7,18,2,yes,no,2,no,3,209409,94234,52352,62822,418.82,34901,95.6,15550,31.1,519.72,1906,90.28
